,,Government Procurement Card spend November 2013,,,,,
Companies House,CH,11/22/2013,T & S UK General,Communications,PARK PLAZA VICTORIA FR,263,404.4
Companies House,CH,11/20/2013,T & S UK General,Communications,SEAFRESH RESTAURAN,262,46
Companies House,CH,11/6/2013,T & S UK General,Communications,SPANISH GALLEON,251,57.45
Companies House,CH,11/8/2013,T & S UK General,Communications,THE MECURE LONDON GREE,256,368
Companies House,CH,11/8/2013,T & S UK General,Communications,THE MECURE LONDON GREE,257,368
Companies House,CH,11/8/2013,T & S UK General,Communications,WH SMITH,255,6.4
Companies House,CH,11/8/2013,T & S UK General,Customer Support Services,COSTA COFFEE,52,8.15
Companies House,CH,11/28/2013,T & S UK General,Customer Support Services,CP LIVERPOOL,108,550
Companies House,CH,11/18/2013,T & S UK General,Customer Support Services,CROWNE PLAZA,116,79
Companies House,CH,11/11/2013,T & S UK General,Customer Support Services,HILTON,55,121.4
Companies House,CH,11/28/2013,T & S UK General,Customer Support Services,HILTON PARK N/E EDC,107,36.21
Companies House,CH,11/28/2013,T & S UK General,Customer Support Services,HILTON PARK N/E WH SMI,66,8.39
Companies House,CH,11/18/2013,T & S UK General,Customer Support Services,HOLIDAY INNS,98,162.92
Companies House,CH,11/18/2013,T & S UK General,Customer Support Services,HOLIDAY INNS,101,345
Companies House,CH,11/28/2013,T & S UK General,Customer Support Services,HOLIDAY INNS,106,895
Companies House,CH,11/28/2013,T & S UK General,Customer Support Services,HOLIDAY INNS,405,235
Companies House,CH,11/15/2013,T & S UK General,Customer Support Services,LEIGH DELAMERE S/W COS,95,13.95
Companies House,CH,11/15/2013,T & S UK General,Customer Support Services,LEIGH DELAMERE S/W WH,59,17.93
Companies House,CH,11/18/2013,T & S UK General,Customer Support Services,LEIGH DELAMERE WEST MW,60,28.55
Companies House,CH,11/14/2013,T & S UK General,Customer Support Services,LITTLE CHEF KETTERING,93,40.48
Companies House,CH,11/6/2013,T & S UK General,Customer Support Services,LOTHIAN BUSES,47,6
Companies House,CH,11/15/2013,T & S UK General,Customer Support Services,M&S SIMPLY FOOD,96,9.49
Companies House,CH,11/15/2013,T & S UK General,Customer Support Services,M&S SIMPLY FOOD,97,10.93
Companies House,CH,11/6/2013,T & S UK General,Customer Support Services,MARKS & SPENCER SSPLTD,45,11.26
Companies House,CH,11/8/2013,T & S UK General,Customer Support Services,MERCURE INVERNESS,53,83.9
Companies House,CH,11/28/2013,T & S UK General,Customer Support Services,MOTO READING EAST GREG,397,4.55
Companies House,CH,11/28/2013,T & S UK General,Customer Support Services,MOTO READING EAST GREG,489,5.2
Companies House,CH,11/15/2013,T & S UK General,Customer Support Services,PACE THETFORD WEST,57,22.03
Companies House,CH,11/15/2013,T & S UK General,Customer Support Services,PREMIER INN44521635,372,82.25
Companies House,CH,11/15/2013,T & S UK General,Customer Support Services,PREMIER INN44521635,373,82.25
Companies House,CH,11/28/2013,T & S UK General,Customer Support Services,READING N/E WH SMITHS,497,5.19
Companies House,CH,11/18/2013,T & S UK General,Customer Support Services,RENAISSANCE M'CHESTER,100,327
Companies House,CH,11/19/2013,T & S UK General,Customer Support Services,SAINSBURYS LOC4003,63,4.2
Companies House,CH,11/15/2013,T & S UK General,Customer Support Services,SEVERN RIVER CROSSIN P,58,6.2
Companies House,CH,11/22/2013,T & S UK General,Customer Support Services,SEVERN RIVER CROSSIN P,64,6.2
Companies House,CH,11/29/2013,T & S UK General,Customer Support Services,TAKE A BREAK STRENSHAM,67,15.53
Companies House,CH,11/29/2013,T & S UK General,Customer Support Services,TAKE A BREAK STRENSHAM,109,11.15
Companies House,CH,11/29/2013,T & S UK General,Customer Support Services,TAKE A BREAK STRENSHAM,110,9.35
Companies House,CH,11/29/2013,T & S UK General,Customer Support Services,TAKE A BREAK STRENSHAM,111,7.97
Companies House,CH,11/18/2013,T & S UK General,Customer Support Services,TESCO PFS 5268,61,40.08
Companies House,CH,11/25/2013,T & S UK General,Customer Support Services,TESCO PFS 5268,65,21.59
Companies House,CH,11/29/2013,T & S UK General,Customer Support Services,TESCO STORE 5468,490,5.81
Companies House,CH,11/7/2013,T & S UK General,Customer Support Services,THISTLE ABERDEEN CALED,50,130
Companies House,CH,11/19/2013,T & S UK General,Customer Support Services,TomTom,62,47.5
Companies House,CH,11/27/2013,T & S UK General,Customer Support Services,UPPER CRUST TROLLEY,74,5.64
Companies House,CH,11/14/2013,T & S UK General,Customer Support Services,WELCOME BREAK WHS,56,11.7
Companies House,CH,11/7/2013,T & S UK General,Customer Support Services,WH SMITH,48,9.7
Companies House,CH,11/11/2013,T & S UK General,Customer Support Services,WH SMITH,54,22.38
Companies House,CH,11/6/2013,T & S UK General,Customer Support Services,WH SMITH TRAVEL,46,9.99
Companies House,CH,11/28/2013,T & S UK General,Customer Support Services,WM MORRISONS STORE,398,5.73
Companies House,CH,11/4/2013,T & S UK General,Edinburgh,EDINBURGH AIRPORT CAR,11,28.84
Companies House,CH,11/13/2013,T & S UK General,Edinburgh,EDINBURGH AIRPORT CAR,19,18.53
Companies House,CH,11/8/2013,T & S UK General,Edinburgh,FORUM HOT HILTON PARK,15,110.61
Companies House,CH,11/11/2013,T & S UK General,Edinburgh,JURYS INN HEATHROW,16,55
Companies House,CH,11/4/2013,T & S UK General,London,HOLIDAY INNS,91,138
Companies House,CH,11/28/2013,T & S UK General,Marketing & Sales,APCOA PARKING WATERSID,467,6.5
Companies House,CH,11/22/2013,T & S UK General,Marketing & Sales,CAFE ROUGE,177,72.05
Companies House,CH,11/18/2013,T & S UK General,Marketing & Sales,CHIEVELEY BURGER KING,464,29.16
Companies House,CH,11/18/2013,T & S UK General,Marketing & Sales,CHINA PALACE,462,83.2
Companies House,CH,11/8/2013,T & S UK General,Marketing & Sales,COMFORT INN VICTORIA,175,398
Companies House,CH,11/25/2013,T & S UK General,Marketing & Sales,HOLIDAY INN OXFORD CIR,178,561
Companies House,CH,11/28/2013,T & S UK General,Marketing & Sales,HOLIDAY INNS,140,60
Companies House,CH,11/7/2013,T & S UK General,Marketing & Sales,LOCO MEXICANO,174,42.9
Companies House,CH,11/8/2013,T & S UK General,Marketing & Sales,NCP LIMITED P&D,90,7.3
Companies House,CH,11/22/2013,T & S UK General,Marketing & Sales,NCP LIMITED P&D,176,14.6
Companies House,CH,11/13/2013,T & S UK General,Marketing & Sales,PREMIER INN44529735,129,84
Companies House,CH,11/18/2013,T & S UK General,Marketing & Sales,SEVERN RIVER CROSSIN P,463,6.2
Companies House,CH,11/21/2013,T & S UK General,Marketing & Sales,SLEEPERZ HOTEL,137,6.95
Companies House,CH,11/18/2013,T & S UK General,Marketing & Sales,TESCO PFS 3747,465,55.56
Companies House,CH,11/8/2013,T & S UK General,Marketing & Sales,THE BURLINGTON WORTHIN,188,465
Companies House,CH,11/6/2013,T & S UK General,Marketing & Sales,THE LEONARD HOTEL,126,140
Companies House,CH,11/7/2013,T & S UK General,Marketing & Sales,Trainline.com,89,97.97
Companies House,CH,11/19/2013,T & S UK General,Marketing & Sales,TRAVEL REPUBLIC LTD,132,83.03
Companies House,CH,11/19/2013,T & S UK General,Marketing & Sales,TRAVELODGE WEBSITE,133,86
Companies House,CH,11/15/2013,T & S UK General,Marketing & Sales,WELCOME BREAK,459,5.8
Companies House,CH,11/15/2013,T & S UK General,Marketing & Sales,WELCOME BREAK,460,3.1
Companies House,CH,11/15/2013,T & S UK General,Marketing & Sales,WELCOME BREAK,461,2.9
Companies House,CH,11/5/2013,T & S UK General,Policy & Planning,CAFFE RITAZZA,374,9.08
Companies House,CH,11/27/2013,T & S UK General,Policy & Planning,CARREFOUR EXPRESS 137,322,8.94
Companies House,CH,11/28/2013,T & S UK General,Policy & Planning,DELICE DE FRANCE,323,6.79
Companies House,CH,11/4/2013,T & S UK General,Policy & Planning,FGW WEBSALES,76,81
Companies House,CH,11/13/2013,T & S UK General,Policy & Planning,FGW WEBSALES,78,164.5
Companies House,CH,11/6/2013,T & S UK General,Policy & Planning,HMSHOST AMSTERDAM SCHI,310,15.39
Companies House,CH,11/11/2013,T & S UK General,Policy & Planning,HMSHOST AMSTERDAM SCHI,313,16.2
Companies House,CH,11/8/2013,T & S UK General,Policy & Planning,K + K Hotel Maria Ther,312,320.59
Companies House,CH,11/27/2013,T & S UK General,Policy & Planning,KIOSK GARE DU MIDI,321,11.61
Companies House,CH,11/7/2013,T & S UK General,Policy & Planning,LUL TICKET MACHINE,77,20
Companies House,CH,11/27/2013,T & S UK General,Policy & Planning,MARRIOTT,189,85
Companies House,CH,11/27/2013,T & S UK General,Policy & Planning,MARRIOTT,190,85
Companies House,CH,11/18/2013,T & S UK General,Policy & Planning,OEBB PERSONENVERKEHRS,318,32.58
Companies House,CH,11/27/2013,T & S UK General,Policy & Planning,PRET A MANGER,320,7.85
Companies House,CH,11/25/2013,T & S UK General,Policy & Planning,THE REGENCY HOTEL,319,160
Companies House,CH,11/6/2013,T & S UK General,Policy & Planning,WIENER LINIEN 4016,311,3.62
Companies House,CH,11/26/2013,T & S UK General,Policy & Planning,WWW.HXPAYMENTS.COM,468,89.9
Companies House,CH,11/15/2013,T & S UK General,Policy & Planning,YO! SUSHI,377,7
Companies House,CH,11/13/2013,T & S UK General,Procurement,TAUNTON MWSA,248,5.28
Companies House,CH,11/29/2013,T & S UK General,Training,PREMIER INN44512655,443,461.85
Companies House,CH,11/12/2013,T & S UK ISD Training,Training,EXPEDIA CO UK,423,184.86
Companies House,CH,11/14/2013,T & S UK ISD Training,Training,EXPEDIA CO UK,426,-184.86
Companies House,CH,11/8/2013,T & S UK ISD Training,Training,PREMIER INN44036025,422,1469.5
Companies House,CH,11/18/2013,T & S UK ISD Training,Training,PREMIER INN44530325,428,880.5
Companies House,CH,11/29/2013,T & S UK ISD Training,Training,QA-IQ LTD,441,2025.6
Companies House,CH,11/29/2013,T & S UK ISD Training,Training,QA-IQ LTD,442,624
Companies House,CH,11/28/2013,T & S UK ISD Training,Training,THE KNOWLEDGE ACADEMY,440,-834
Companies House,CH,11/25/2013,Taxi - staff,Belfast,VALUE CABS LTD,243,19.7
Companies House,CH,11/7/2013,Taxi - staff,Customer Support Services,CABCARD SERVICES (,49,11
Companies House,CH,11/4/2013,Taxi - staff,Edinburgh,CABCARD SERVICES (,14,18.27
Companies House,CH,11/14/2013,Taxi - staff,Edinburgh,CHECKER CARS CARDIFF,20,33.82
Companies House,CH,11/11/2013,Taxi - staff,Edinburgh,CITY CABS EDINBURGH LT,17,16.7
Companies House,CH,11/6/2013,Training External,Training,BUTTERWORTH TOLLEY,417,106.8
Companies House,CH,11/29/2013,Training External,Training,CARDIFF COUNCIL PARKIN,194,7
Companies House,CH,11/22/2013,Training External,Training,CIPD ENTERPRISES,432,696
Companies House,CH,11/25/2013,Training External,Training,GOVERNMENT KNOWLEDGE L,433,888
Companies House,CH,11/21/2013,Training External,Training,KAPLAN FINANCIAL LTD,431,53
Companies House,CH,11/26/2013,Training External,Training,OU FINANCE MOTO,436,555
Companies House,CH,11/15/2013,Training External,Training,PAYPAL  RICHARD,427,295
Companies House,CH,11/5/2013,Training External,Training,THE QUEENS HOTEL,195,99
Companies House,CH,11/19/2013,Training External,Training,WWW.EVERSHEDS.COM,430,272.46
Companies House,CH,11/28/2013,Trains - Directors,Directorate,LUL TICKET MACHINE,193,20
Companies House,CH,11/15/2013,Trains-staff,Accounting,FGW WEBSALES,205,17
Companies House,CH,11/15/2013,Trains-staff,Accounting,Trainline.com,79,169.73
Companies House,CH,11/5/2013,Trains-staff,Accounting,WWW.REDSPOTTEDHANK,119,139.1
Companies House,CH,11/27/2013,Trains-staff,Belfast,RHOOSE SST AW,245,4
Companies House,CH,11/7/2013,Trains-staff,Communications,LONDON & SOUTH EAS,252,20
Companies House,CH,11/7/2013,Trains-staff,Communications,LONDON & SOUTH EAS,253,20
Companies House,CH,11/27/2013,Trains-staff,Customer Support Services,LUL TICKET MACHINE,75,20
Companies House,CH,11/4/2013,Trains-staff,Customer Support Services,REDSPOTTEDHANKY.CO,68,30.45
Companies House,CH,11/4/2013,Trains-staff,Customer Support Services,REDSPOTTEDHANKY.CO,69,90.25
Companies House,CH,11/21/2013,Trains-staff,Customer Support Services,REDSPOTTEDHANKY.CO,70,30.45
Companies House,CH,11/21/2013,Trains-staff,Customer Support Services,REDSPOTTEDHANKY.CO,71,108.55
Companies House,CH,11/26/2013,Trains-staff,Customer Support Services,REDSPOTTEDHANKY.CO,72,108.55
Companies House,CH,11/26/2013,Trains-staff,Customer Support Services,REDSPOTTEDHANKY.CO,73,68.3
Companies House,CH,11/21/2013,Trains-staff,London,FGW WEBSALES,42,88
Companies House,CH,11/21/2013,Trains-staff,London,FGW WEBSALES,43,88
Companies House,CH,11/26/2013,Trains-staff,London,FGW WEBSALES,44,88
Companies House,CH,11/4/2013,Trains-staff,Marketing & Sales,ARRIVA TRAINS WALE,124,70.5
Companies House,CH,11/20/2013,Trains-staff,Marketing & Sales,ARRIVA TRAINS WALE,134,28.1
Companies House,CH,11/20/2013,Trains-staff,Marketing & Sales,ARRIVA TRAINS WALE,135,30.8
Companies House,CH,11/20/2013,Trains-staff,Marketing & Sales,ARRIVA TRAINS WALE,136,-28.1
Companies House,CH,11/27/2013,Trains-staff,Marketing & Sales,ARRIVA TRAINS WALE,139,70.5
Companies House,CH,11/28/2013,Trains-staff,Marketing & Sales,ARRIVA TRAINS WALE,141,23
Companies House,CH,11/8/2013,Trains-staff,Marketing & Sales,EC MAINLINE OTS,128,18.7
Companies House,CH,11/21/2013,Trains-staff,Marketing & Sales,FGW TICKET OFFICE,138,30.5
Companies House,CH,11/5/2013,Trains-staff,Marketing & Sales,FGW WEBSALES,125,86.5
Companies House,CH,11/13/2013,Trains-staff,Marketing & Sales,GREATER ANGLIA T/O,130,8.3
Companies House,CH,11/14/2013,Trains-staff,Marketing & Sales,GREATER ANGLIA T/O,131,9.3
Companies House,CH,11/7/2013,Trains-staff,Marketing & Sales,WEST COAST TRAINS,127,4.4
Companies House,CH,11/1/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,264,112.1
Companies House,CH,11/1/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,265,216
Companies House,CH,11/1/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,266,122.8
Companies House,CH,11/4/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,267,141.6
Companies House,CH,11/5/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,268,308.1
Companies House,CH,11/6/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,269,207
Companies House,CH,11/6/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,270,207
Companies House,CH,11/8/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,271,183.8
Companies House,CH,11/11/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,272,27
Companies House,CH,11/12/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,273,224.2
Companies House,CH,11/12/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,274,147.3
Companies House,CH,11/12/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,275,-203
Companies House,CH,11/13/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,276,406
Companies House,CH,11/13/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,277,173.9
Companies House,CH,11/13/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,278,189.8
Companies House,CH,11/14/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,279,294.6
Companies House,CH,11/14/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,280,294.6
Companies House,CH,11/14/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,281,270.9
Companies House,CH,11/14/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,282,207
Companies House,CH,11/14/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,283,-294.6
Companies House,CH,11/15/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,284,10
Companies House,CH,11/15/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,285,53.2
Companies House,CH,11/15/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,286,92.8
Companies House,CH,11/15/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,287,115
Companies House,CH,11/15/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,288,153
Companies House,CH,11/15/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,289,189.5
Companies House,CH,11/15/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,290,306.4
Companies House,CH,11/18/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,291,213
Companies House,CH,11/19/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,292,135.6
Companies House,CH,11/20/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,293,406
Companies House,CH,11/21/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,294,140.1
Companies House,CH,11/21/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,295,138.5
Companies House,CH,11/21/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,296,192.6
Companies House,CH,11/22/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,297,156
Companies House,CH,11/26/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,298,669.4
Companies House,CH,11/26/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,299,147.3
Companies House,CH,11/27/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,300,180.3
Companies House,CH,11/27/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,301,155.6
Companies House,CH,11/27/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,302,112
Companies House,CH,11/28/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,303,213
Companies House,CH,11/29/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,304,1363.4
Companies House,CH,11/29/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,305,207.3
Companies House,CH,11/29/2013,Trains-staff,Organisational Overheads,ARRIVA TRAINS WALE,306,132.6
Companies House,CH,11/15/2013,Trains-staff,Policy & Planning,EUROSTAR INTERNET,314,103
Companies House,CH,11/20/2013,Water,Belfast,ALL WATER SYSTEMS LTD,241,288.42
Companies House,CH,11/4/2013,Distributed Equipment,Technical Operations Mgmt,XMA LTD,209,1345.34
